start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-07-19 0:00,2018-07-19 8:10,수면,집,부천시 소사본동,실내,혼자,/,/,/,예,매우 긍정,매우 낮음,보통,보통
2018-07-19 8:10,2018-07-19 8:40,기타|등교 준비,집,부천시 소사본동,실내,혼자,/,/,/,예,긍정,매우 낮음,보통,보통
2018-07-19 8:40,2018-07-19 8:50,이동,야외,부천시 소사본동,실외,"친밀한 관계|현오, 민교, 석현",/,/,/,예,매우 긍정,매우 낮음,높음,보통
2018-07-19 8:50,2018-07-19 9:00,사교|매점,상점,부천시 소사본동,실내,"친밀한 관계|현오, 민교, 석현",/,/,/,예,매우 긍정,매우 낮음,보통,보통
2018-07-19 9:00,2018-07-19 9:50,공부,학교,부천시 소사본동,실내,혼자,/,/,/,예,긍정,매우 낮음,낮음,보통
2018-07-19 9:50,2018-07-19 10:00,사교|수다,학교,부천시 소사본동,실내,"친밀한 관계|종선, 대훈, 연수",/,/,/,예,매우 긍정,매우 낮음,낮음,보통
2018-07-19 10:00,2018-07-19 10:50,공부,학교,부천시 소사본동,실내,혼자,/,/,/,예,긍정,매우 낮음,낮음,보통
2018-07-19 10:50,2018-07-19 11:00,사교|수다,야외,부천시 소사본동,실외,"친밀한 관계|한빈, 상기, 태균",/,/,/,예,매우 긍정,매우 낮음,낮음,보통
2018-07-19 11:00,2018-07-19 11:50,공부,학교,부천시 소사본동,실내,혼자,/,/,/,예,긍정,매우 낮음,낮음,보통
2018-07-19 11:50,2018-07-19 12:30,사교|농구,기타|체육관,부천시 소사본동,실내,"친밀한 관계|지훈, 홍규, 재훈, 석민",/,/,/,예,매우 긍정,매우 낮음,보통,높음
2018-07-19 12:30,2018-07-19 12:40,식사,상점,부천시 소사본동,실내,혼자,"기타|커피, 초콜릿",매우 적음,점심,예,매우 긍정,낮음,낮음,보통
2018-07-19 12:40,2018-07-19 13:00,사교|연애,학교,부천시 소사본동,실내,친밀한 관계|지은,/,/,/,예,매우 긍정,낮음,낮음,보통
2018-07-19 13:00,2018-07-19 13:50,기타|영화,학교,부천시 소사본동,실내,"친밀한 관계|지은, 준연, 이정",/,/,/,예,매우 긍정,낮음,낮음,보통
2018-07-19 13:50,2018-07-19 14:00,사교|수다,학교,부천시 소사본동,실내,"친밀한 관계|지은, 준연, 이정",/,/,/,예,매우 긍정,낮음,낮음,보통
2018-07-19 14:00,2018-07-19 14:50,기타|영화,학교,부천시 소사본동,실내,"친밀한 관계|지은, 준연, 이정",/,/,/,예,매우 긍정,낮음,낮음,보통
2018-07-19 14:50,2018-07-19 15:00,사교|수다,학교,부천시 소사본동,실내,"친밀한 관계|지은, 준연, 이정",/,/,/,예,매우 긍정,낮음,낮음,보통
2018-07-19 15:00,2018-07-19 15:50,기타|영화,학교,부천시 소사본동,실내,"친밀한 관계|지은, 준연, 이정",/,/,/,예,매우 긍정,낮음,낮음,보통
2018-07-19 15:50,2018-07-19 16:00,사교|수다,학교,부천시 소사본동,실내,"친밀한 관계|지은, 준연, 이정",/,/,/,예,매우 긍정,낮음,낮음,보통
2018-07-19 16:00,2018-07-19 16:50,기타|영화,학교,부천시 소사본동,실내,"친밀한 관계|지은, 준연, 이정",/,/,/,예,매우 긍정,낮음,낮음,보통
2018-07-19 16:50,2018-07-19 17:10,이동,대중교통,부천시 소사본동,실외,"친밀한 관계|지은, 준연, 이정",/,/,/,예,매우 긍정,보통,높음,높음
2018-07-19 17:10,2018-07-19 18:10,사교|노래방,대중교통,부천시 심곡동,실외,"친밀한 관계|지은, 준연, 이정",/,/,/,예,긍정,보통,보통,높음
2018-07-19 18:10,2018-07-19 18:50,식사,식당,부천시 심곡동,실내,"친밀한 관계|지은, 준연, 이정",일식|돈부리,매우 적음,저녁,예,매우 긍정,보통,높음,높음
2018-07-19 18:50,2018-07-19 19:50,사교|보드게임,대중교통,부천시 심곡동,실외,"친밀한 관계|지은, 준연, 이정",/,/,/,예,매우 긍정,보통,보통,높음
2018-07-19 19:50,2018-07-19 21:10,사교|연애,공원,부천시 심곡동,실외,"친밀한 관계|지은, 준연, 이정",/,/,/,예,매우 긍정,보통,높음,높음
2018-07-19 21:10,2018-07-19 21:50,사교|연애,야외,부천시 심곡동,실외,친밀한 관계|지은,/,/,/,예,매우 긍정,보통,높음,높음
2018-07-19 21:50,2018-07-19 22:00,이동,야외,부천시 심곡동,실외,친밀한 관계|지은,/,/,/,예,매우 긍정,보통,높음,높음
2018-07-19 22:00,2018-07-19 22:30,사교|연애,집|지은,부천시 범박동,실내,친밀한 관계|지은,/,/,/,예,매우 긍정,보통,보통,보통
2018-07-19 22:30,2018-07-19 22:50,식사,집|지은,부천시 범박동,실내,친밀한 관계|지은,기타|라면,적음,야식,예,매우 긍정,보통,보통,보통
2018-07-19 22:50,2018-07-19 23:10,사교|연애,집|지은,부천시 범박동,실내,친밀한 관계|지은,/,/,/,예,매우 긍정,보통,보통,보통
2018-07-19 23:10,2018-07-19 23:20,이동|전화,야외,부천시 범박동,실외,혼자,/,/,/,예,매우 긍정,보통,높음,높음
2018-07-19 23:20,2018-07-19 23:59,사교|전화,집,부천시 소사본동,실내,혼자,/,/,/,예,매우 긍정,보통,보통,보통
