start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-07-18 0:00,2018-07-18 1:30,사교|SNS,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-07-18 1:30,2018-07-18 2:30,기타|수면 시도,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,매우 높음,보통,보통
2018-07-18 2:30,2018-07-18 3:00,야외활동|산책,야외,부천시 소사본동,실외,혼자,/,/,/,예,매우 부정,매우 높음,보통,보통
2018-07-18 3:00,2018-07-18 3:30,기타|명상,집,부천시 소사본동,실내,혼자,/,/,/,예,긍정,매우 높음,보통,보통
2018-07-18 3:30,2018-07-18 8:10,수면,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,보통,보통,보통
2018-07-18 8:10,2018-07-18 8:40,기타|등교 준비,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,보통,보통,보통
2018-07-18 8:40,2018-07-18 8:50,이동,야외,부천시 소사본동,실외,"친밀한 관계|현오, 민교, 석현",/,/,/,예,긍정,보통,높음,보통
2018-07-18 8:50,2018-07-18 9:00,사교|매점,상점,부천시 소사본동,실내,"친밀한 관계|현오, 민교, 석현",/,/,/,예,긍정,보통,보통,보통
2018-07-18 9:00,2018-07-18 9:50,공부,학교,부천시 소사본동,실내,혼자,/,/,/,예,보통,보통,낮음,보통
2018-07-18 9:50,2018-07-18 10:00,사교|수다,학교,부천시 소사본동,실내,"친밀한 관계|민정, 상준, 예주",/,/,/,예,긍정,보통,낮음,보통
2018-07-18 10:00,2018-07-18 10:50,수면|수업 중 졸음,학교,부천시 소사본동,실내,혼자,/,/,/,예,보통,보통,낮음,보통
2018-07-18 10:50,2018-07-18 11:00,사교|수다,학교,부천시 소사본동,실내,"친밀한 관계|현욱, 지수, 진호",/,/,/,예,긍정,보통,낮음,보통
2018-07-18 11:00,2018-07-18 11:50,공부,학교,부천시 소사본동,실내,혼자,/,/,/,예,보통,보통,낮음,보통
2018-07-18 11:50,2018-07-18 12:30,사교|농구,기타|체육관,부천시 소사본동,실내,"친밀한 관계|민재, 지홍, 우철, 상준",/,/,/,예,매우 긍정,높음,보통,높음
2018-07-18 12:30,2018-07-18 12:40,식사,상점,부천시 소사본동,실내,친밀한 관계|지은,"기타|커피, 컵라면",매우 적음,점심,예,긍정,보통,낮음,보통
2018-07-18 12:40,2018-07-18 13:00,사교|연애,야외,부천시 소사본동,실내,친밀한 관계|지은,/,/,/,예,긍정,보통,낮음,보통
2018-07-18 13:00,2018-07-18 13:50,공부,학교,부천시 소사본동,실내,혼자,/,/,/,예,보통,보통,낮음,보통
2018-07-18 13:50,2018-07-18 14:00,사교|수다,학교,부천시 소사본동,실내,"친밀한 관계|이정, 승우, 예림",/,/,/,예,긍정,높음,낮음,보통
2018-07-18 14:00,2018-07-18 14:50,공부,학교,부천시 소사본동,실내,혼자,/,/,/,예,보통,보통,낮음,보통
2018-07-18 14:50,2018-07-18 15:00,수면,학교,부천시 소사본동,실내,혼자,/,/,/,예,보통,보통,낮음,보통
2018-07-18 15:00,2018-07-18 16:00,기타|학급시간,학교,부천시 소사본동,실내,친밀한 관계|반 친구들,/,/,/,예,보통,보통,낮음,보통
2018-07-18 16:00,2018-07-18 17:00,봉사|청소,학교,부천시 소사본동,실외,친밀한 관계|반 친구들,/,/,/,예,긍정,높음,높음,높음
2018-07-18 17:00,2018-07-18 17:20,이동,대중교통,부천시 소사본동,실외,친밀한 관계|지은,/,/,/,예,긍정,높음,보통,높음
2018-07-18 17:20,2018-07-18 18:30,능동적 여가|쇼핑,상점,부천시 심곡동,실내,친밀한 관계|지은,/,/,/,예,매우 긍정,높음,높음,높음
2018-07-18 18:30,2018-07-18 18:40,이동,대중교통,부천시 심곡동,실외,친밀한 관계|지은,/,/,/,예,매우 긍정,매우 높음,보통,높음
2018-07-18 18:40,2018-07-18 19:20,사교|연애,공원,부천시 범박동,실외,친밀한 관계|지은,/,/,/,예,매우 긍정,매우 높음,높음,높음
2018-07-18 19:20,2018-07-18 19:30,야외활동|산책,야외,부천시 범박동,실외,친밀한 관계|지은,/,/,/,예,매우 긍정,매우 높음,높음,높음
2018-07-18 19:30,2018-07-18 19:40,이동,야외,부천시 범박동,실외,혼자,/,/,/,예,매우 긍정,매우 높음,높음,높음
2018-07-18 19:40,2018-07-18 20:00,기타|샤워,집,부천시 소사본동,실내,혼자,/,/,/,예,매우 긍정,매우 높음,보통,보통
2018-07-18 20:00,2018-07-18 20:10,공부|침대에 누워서,집,부천시 소사본동,실내,혼자,/,/,/,예,매우 긍정,매우 높음,보통,보통
2018-07-18 20:10,2018-07-18 23:59,수면,집,부천시 소사본동,실내,혼자,/,/,/,예,매우 긍정,매우 높음,보통,보통
