start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-07-27 0:00,2018-07-27 0:20,사교|노가리,기타|숙소,가평군 청평면,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,높음,보통,보통
2018-07-27 0:20,2018-07-27 0:30,야외활동|산책,야외,가평군 청평면,실외,혼자,/,/,/,아니오,보통,보통,낮음,보통
2018-07-27 0:30,2018-07-27 2:20,사교|노가리,기타|숙소,가평군 청평면,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱","기타|술, 치킨",적음,야식,아니오,긍정,높음,보통,보통
2018-07-27 2:20,2018-07-27 2:50,수동적 여가|유튜브 시청,기타|숙소,가평군 청평면,실내,"친밀한 관계|대광, 성욱",/,/,/,아니오,보통,매우 높음,보통,보통
2018-07-27 2:50,2018-07-27 3:10,사교|SNS,기타|숙소,가평군 청평면,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-07-27 3:10,2018-07-27 3:30,능동적 여가|운동,기타|숙소,가평군 청평면,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-07-27 3:30,2018-07-27 3:50,기타|명상,기타|숙소,가평군 청평면,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-07-27 3:50,2018-07-27 7:30,수면,기타|숙소,가평군 청평면,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-07-27 7:30,2018-07-27 8:00,야외활동|산책,야외,가평군 청평면,실외,친밀한 관계|의훈,/,/,/,아니오,긍정,보통,낮음,보통
2018-07-27 8:00,2018-07-27 8:20,식사,기타|숙소,가평군 청평면,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",기타|컵라면,매우 적음,아침,아니오,긍정,높음,보통,보통
2018-07-27 8:20,2018-07-27 8:50,기타|짐싸기,기타|숙소,가평군 청평면,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,높음,보통,보통
2018-07-27 8:50,2018-07-27 11:40,사교|노가리,기타|숙소,가평군 청평면,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,긍정,높음,보통,보통
2018-07-27 11:40,2018-07-27 12:00,수동적 여가|유튜브 시청,기타|숙소,가평군 청평면,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,보통,높음,보통,보통
2018-07-27 12:00,2018-07-27 12:10,기타|외출 준비,기타|숙소,가평군 청평면,실내,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,보통,높음,보통,보통
2018-07-27 12:10,2018-07-27 15:20,이동,대중교통,가평군 청평면,실외,"친밀한 관계|한순, 주혁, 의훈, 대광, 성욱",/,/,/,아니오,보통,높음,높음,보통
2018-07-27 15:20,2018-07-27 15:50,기타|짐풀기,집,부천시 소사본동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-07-27 15:50,2018-07-27 16:10,기타|휴식,집,부천시 소사본동,실내,혼자,/,/,/,아니오,보통,매우 높음,보통,보통
2018-07-27 16:10,2018-07-27 16:20,기타|멍때리기,집,부천시 소사본동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-07-27 16:20,2018-07-27 17:10,수면,집,부천시 소사본동,실내,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-07-27 17:10,2018-07-27 18:00,능동적 여가|운동,기타|헬스장,부천시 소사본동,실내,혼자,/,/,/,아니오,긍정,보통,보통,보통
2018-07-27 18:00,2018-07-27 18:20,기타|샤워,기타|헬스장,부천시 소사본동,실내,혼자,/,/,/,아니오,보통,보통,보통,보통
2018-07-27 18:20,2018-07-27 19:00,기타|휴식,집,부천시 소사본동,실내,혼자,/,/,/,아니오,보통,보통,보통,보통
2018-07-27 19:00,2018-07-27 20:20,사교|전화,집,부천시 소사본동,실내,친밀한 관계|지은,/,/,/,아니오,긍정,보통,보통,보통
2018-07-27 20:20,2018-07-27 20:30,이동,대중교통,부천시 소사본동,실외,혼자,/,/,/,아니오,긍정,보통,보통,보통
2018-07-27 20:30,2018-07-27 22:00,사교|연애,야외,부천시 범박동,실외,친밀한 관계|지은,/,/,/,아니오,긍정,보통,보통,보통
2018-07-27 22:00,2018-07-27 22:10,이동,대중교통,부천시 범박동,실외,혼자,/,/,/,아니오,긍정,보통,보통,보통
2018-07-27 22:10,2018-07-27 22:50,수동적 여가|TV 시청,집,부천시 소사본동,실내,혼자,/,/,/,아니오,긍정,보통,보통,보통
2018-07-27 22:50,2018-07-27 23:20,사교|전화,집,부천시 소사본동,실내,친밀한 관계|지은,/,/,/,아니오,보통,보통,보통,보통
2018-07-27 23:20,2018-07-27 23:40,능동적 여가|운동,집,부천시 소사본동,실내,혼자,/,/,/,아니오,보통,보통,보통,보통
2018-07-27 23:40,2018-07-27 23:59,수동적 여가|유튜브 시청,집,부천시 소사본동,실내,혼자,/,/,/,예,보통,보통,보통,보통
